Título,Dominio,Fecha de Brecha,Datos comprometidos,Verificada,Sensible
Adobe,adobe.com,2013-10-04,2013-12-04T00:00:00Z,"Email addresses,Password hints,Passwords,Usernames",Si,No
Dropbox,dropbox.com,2012-07-01,2016-08-31T00:19:19Z,"Email addresses,Passwords",Si,No
Onliner Spambot,,2017-08-28,2017-08-29T19:25:56Z,"Email addresses,Passwords",Si,No
